,#,Boardgame,Min. Players,Max. Players,Playing Time,Complexity (BGG),Language,Type,Categories,Mechanisms,
,1,1000 Bommen & Granaten! (2012),2,5,30 Min,"1,1",Dutch,Family,"Card Game, Dice, Fighting, Pirates","Dice Rolling, Die Icon Resolution, Push Your Luck, Race, Re-rolling and Locking, Score-and-Reset Game, Set Collection",
,1,1655: Habemus Papam (2010),3,4,30 Min,"2,18",,Strategy,"Card Game, Pike and Shot, Religious","Auction / Bidding, Set Collection",
,1,20 Second Showdown (2019),5,20,30 Min,1,Dutch,Party,"Party Game, Real-Time","Hot Potato, Real-Time, Team-Based Game",
,1,3 Chapters (2024),2,6,30 Min,"1,71",,Family,"Card Game, Fantasy","Closed Drafting, Set Collection, Trick-taking",
,1,30 Seconds (2002),3,24,30 Min,"1,15",Dutch,Party,"Party Game, Trivia","Action Timer, Real-Time, Roll / Spin and Move, Team-Based Game",
,1,30 Seconds Junior (2013),3,20,30 Min,1,Dutch,Party,"Party Game, Real-Time, Trivia","Action Timer, Real-Time, Roll / Spin and Move, Team-Based Game",
,1,30 Seconds: Everyday Life (2017),3,28,30 Min,"1,2",Dutch,Party,"Party Game, Real-time, Trivia","Roll / Spin and Move, Team-Based Game",
,1,5 Torens (2023),2,5,15-30 Min,"1,25",Dutch,Family,Card Game,"Auction / Bidding, Auction: Once Around, Open Drafting, Set Collection, Turn Order: Progressive",
,1,5-Minute Dungeon (2017),2,5,5-30 Min,"1,12",English,Family,"Card Game, Fantasy, Fighting, Print & Play, Real-time","Card Play Conflict Resolution, Cooperative Game, Elapsed Real Time Ending, Hand Management, Move Through Deck, Real-Time, Variable Player Powers",
,1,7 Rounds (2023),2,5,15 Min,1,,Family,"Card Game, Number",Hand Management,
,1,7 Wonders (Second Edition) (2020),3,7,30 Min,"2,28",Dutch,Strategy,"Ancienct, Card Game, City Building, Civilization, Economic","Closed Drafting, Hand Management, Neighbor Scope, Set Collection, Simultaneous Action Selection, Variable Player Powers",
,1,7 Wonders Duel (2015),2,2,30 Min,"2,23",Dutch,"Two-Player, Strategy","Ancienct, Card Game, City Building, Civilization, Economic","End Game Bonuses, Income, Melding and Splaying, Modular Board, Multi-Use Cards, Once-Per-Game Abilities, Open Drafting, Score-and-Reset Game, Set Collection, Sudden Death Ending, Tags, Tech Trees / Tech Tracks, Track Movement, Tug of War, Variable Set-up",
,1,7 Wonders Duel: Pantheon (2016),2,2,30 Min,"2,32",Dutch,"Two-Player, Strategy","Expansion for Base-game, Ancient, Card Game, City Building, Civilization","Open Drafting, Set Collection",
,1,7 Wonders EN (2010),3,7,30 Min,"2,31",English,Strategy,"Ancienct, Card Game, City Building, Civilization, Economic","Closed Drafting, End Game Bonuses, Hand Management, Melding and Splaying, Multi-Use Cards, Neighbor Scope, Once-Per-Game Abolities, Score-and-Reset Game, Set Collection, Simultaneous Action Selection, Tags, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-Up",
,2,7 Wonders NL (2010),2,7,30 Min,"2,31",Dutch,Strategy,"Ancienct, Card Game, City Building, Civilization, Economic","Closed Drafting, End Game Bonuses, Hand Management, Melding and Splaying, Multi-Use Cards, Neighbor Scope, Once-Per-Game Abolities, Score-and-Reset Game, Set Collection, Simultaneous Action Selection, Tags, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-Up",
,1,7 Wonders: Architects (2021),2,7,25 Min,"1,36",Dutch,Family,Ancient,"Neighbor Scope, Open Drafting, Set Collection, Variable Player Powers",
